AssetId,SiteNo,SiteName,CategoryName,OverallScore,EqCriticality,EqOperatingIssues,EqRedundancy,EqServiceSupport,EqAge,SiteBusinessPriority,EqEfficiency,EqMainCost,EqLoading,ROMReplacementCost,BudgetYear,ROMCostInBudgetYear,SourceWorkbook,SourceSheet,SourceRowNumber,CalculationLayer,ValidationStatus,IsTestRecord
436,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,107,Scoring Engine -> Output- Asset Scores,Valid,false
437,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,108,Scoring Engine -> Output- Asset Scores,Valid,false
438,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,109,Scoring Engine -> Output- Asset Scores,Valid,false
439,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,110,Scoring Engine -> Output- Asset Scores,Valid,false
440,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,111,Scoring Engine -> Output- Asset Scores,Valid,false
441,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,112,Scoring Engine -> Output- Asset Scores,Valid,false
442,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,113,Scoring Engine -> Output- Asset Scores,Valid,false
443,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,114,Scoring Engine -> Output- Asset Scores,Valid,false
444,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,115,Scoring Engine -> Output- Asset Scores,Valid,false
445,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,116,Scoring Engine -> Output- Asset Scores,Valid,false
446,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,117,Scoring Engine -> Output- Asset Scores,Valid,false
447,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,118,Scoring Engine -> Output- Asset Scores,Valid,false
448,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,119,Scoring Engine -> Output- Asset Scores,Valid,false
449,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,120,Scoring Engine -> Output- Asset Scores,Valid,false
450,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,121,Scoring Engine -> Output- Asset Scores,Valid,false
451,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,122,Scoring Engine -> Output- Asset Scores,Valid,false
452,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,123,Scoring Engine -> Output- Asset Scores,Valid,false
453,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,124,Scoring Engine -> Output- Asset Scores,Valid,false
454,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,125,Scoring Engine -> Output- Asset Scores,Valid,false
455,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,126,Scoring Engine -> Output- Asset Scores,Valid,false
456,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,127,Scoring Engine -> Output- Asset Scores,Valid,false
457,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,128,Scoring Engine -> Output- Asset Scores,Valid,false
458,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,129,Scoring Engine -> Output- Asset Scores,Valid,false
459,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,130,Scoring Engine -> Output- Asset Scores,Valid,false
460,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,131,Scoring Engine -> Output- Asset Scores,Valid,false
